Id,ActivityHour,StepTotal,Calories,TotalIntensity,AverageIntensity,AvgHR
1503960366,2016-03-12T00:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T01:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T02:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T03:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T04:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T05:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T06:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T07:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T08:00:00Z,0,48,0,0,NA
1503960366,2016-03-12T09:00:00Z,8,49,1,0.016667,NA
1503960366,2016-03-12T10:00:00Z,551,89,26,0.433333,NA
1503960366,2016-03-12T11:00:00Z,1764,134,49,0.816667,NA
1503960366,2016-03-12T12:00:00Z,1259,130,47,0.783333,NA
1503960366,2016-03-12T13:00:00Z,253,81,20,0.333333,NA
1503960366,2016-03-12T14:00:00Z,4470,254,121,2.016667,NA
1503960366,2016-03-12T15:00:00Z,4919,271,129,2.15,NA
1503960366,2016-03-12T16:00:00Z,1905,141,42,0.7,NA
1503960366,2016-03-12T17:00:00Z,1038,104,20,0.333333,NA
1503960366,2016-03-12T18:00:00Z,14,54,2,0.033333,NA
1503960366,2016-03-12T19:00:00Z,606,97,30,0.5,NA
1503960366,2016-03-12T20:00:00Z,56,58,4,0.066667,NA
1503960366,2016-03-12T21:00:00Z,782,100,29,0.483333,NA
1503960366,2016-03-12T22:00:00Z,1132,123,41,0.683333,NA
1503960366,2016-03-12T23:00:00Z,918,111,35,0.583333,NA
1503960366,2016-03-13T00:00:00Z,39,55,3,0.05,NA
1503960366,2016-03-13T01:00:00Z,0,48,0,0,NA
1503960366,2016-03-13T02:00:00Z,27,50,1,0.016667,NA
1503960366,2016-03-13T03:00:00Z,0,48,0,0,NA
1503960366,2016-03-13T04:00:00Z,0,48,0,0,NA
1503960366,2016-03-13T05:00:00Z,0,48,0,0,NA
1503960366,2016-03-13T06:00:00Z,0,48,0,0,NA
1503960366,2016-03-13T07:00:00Z,0,49,0,0,NA
1503960366,2016-03-13T08:00:00Z,6,49,1,0.016667,NA
1503960366,2016-03-13T09:00:00Z,73,56,5,0.083333,NA
1503960366,2016-03-13T10:00:00Z,2850,189,85,1.416667,NA
1503960366,2016-03-13T11:00:00Z,4854,270,130,2.166667,NA
1503960366,2016-03-13T12:00:00Z,24,52,3,0.05,NA
1503960366,2016-03-13T13:00:00Z,118,66,9,0.15,NA
1503960366,2016-03-13T14:00:00Z,19,57,3,0.05,NA
1503960366,2016-03-13T15:00:00Z,510,89,23,0.383333,NA
1503960366,2016-03-13T16:00:00Z,510,91,25,0.416667,NA
1503960366,2016-03-13T17:00:00Z,96,61,5,0.083333,NA
1503960366,2016-03-13T18:00:00Z,4100,237,110,1.833333,NA
1503960366,2016-03-13T19:00:00Z,1756,146,57,0.95,NA
1503960366,2016-03-13T20:00:00Z,477,87,25,0.416667,NA
1503960366,2016-03-13T21:00:00Z,147,66,9,0.15,NA
1503960366,2016-03-13T22:00:00Z,214,72,17,0.283333,NA
1503960366,2016-03-13T23:00:00Z,1286,118,46,0.766667,NA
1503960366,2016-03-14T00:00:00Z,54,56,4,0.066667,NA
1503960366,2016-03-14T01:00:00Z,53,54,3,0.05,NA
1503960366,2016-03-14T02:00:00Z,0,49,0,0,NA
1503960366,2016-03-14T03:00:00Z,0,48,0,0,NA
1503960366,2016-03-14T04:00:00Z,0,48,0,0,NA
1503960366,2016-03-14T05:00:00Z,0,49,0,0,NA
1503960366,2016-03-14T06:00:00Z,0,48,0,0,NA
1503960366,2016-03-14T07:00:00Z,53,53,3,0.05,NA
1503960366,2016-03-14T08:00:00Z,212,68,14,0.233333,NA
1503960366,2016-03-14T09:00:00Z,2832,199,61,1.016667,NA
1503960366,2016-03-14T10:00:00Z,43,59,4,0.066667,NA
1503960366,2016-03-14T11:00:00Z,220,72,14,0.233333,NA
1503960366,2016-03-14T12:00:00Z,181,66,9,0.15,NA
1503960366,2016-03-14T13:00:00Z,12,54,1,0.016667,NA
1503960366,2016-03-14T14:00:00Z,44,59,6,0.1,NA
1503960366,2016-03-14T15:00:00Z,205,71,13,0.216667,NA
1503960366,2016-03-14T16:00:00Z,152,68,11,0.183333,NA
1503960366,2016-03-14T17:00:00Z,226,76,17,0.283333,NA
1503960366,2016-03-14T18:00:00Z,516,96,29,0.483333,NA
1503960366,2016-03-14T19:00:00Z,559,100,33,0.55,NA
1503960366,2016-03-14T20:00:00Z,1104,124,45,0.75,NA
1503960366,2016-03-14T21:00:00Z,252,67,12,0.2,NA
1503960366,2016-03-14T22:00:00Z,0,48,0,0,NA
1503960366,2016-03-14T23:00:00Z,3305,198,90,1.5,NA
1503960366,2016-03-15T00:00:00Z,33,56,3,0.05,NA
1503960366,2016-03-15T01:00:00Z,20,55,2,0.033333,NA
1503960366,2016-03-15T02:00:00Z,60,54,4,0.066667,NA
1503960366,2016-03-15T03:00:00Z,0,48,0,0,NA
1503960366,2016-03-15T04:00:00Z,7,49,1,0.016667,NA
1503960366,2016-03-15T05:00:00Z,0,48,0,0,NA
1503960366,2016-03-15T06:00:00Z,4,49,1,0.016667,NA
1503960366,2016-03-15T07:00:00Z,11,49,1,0.016667,NA
1503960366,2016-03-15T08:00:00Z,470,91,28,0.466667,NA
1503960366,2016-03-15T09:00:00Z,1967,148,49,0.816667,NA
1503960366,2016-03-15T10:00:00Z,729,92,17,0.283333,NA
1503960366,2016-03-15T11:00:00Z,659,104,34,0.566667,NA
1503960366,2016-03-15T12:00:00Z,1787,142,49,0.816667,NA
1503960366,2016-03-15T13:00:00Z,333,77,16,0.266667,NA
1503960366,2016-03-15T14:00:00Z,980,107,26,0.433333,NA
1503960366,2016-03-15T15:00:00Z,371,77,14,0.233333,NA
1503960366,2016-03-15T16:00:00Z,605,96,27,0.45,NA
1503960366,2016-03-15T17:00:00Z,623,90,19,0.316667,NA
1503960366,2016-03-15T18:00:00Z,467,82,15,0.25,NA
1503960366,2016-03-15T19:00:00Z,282,75,16,0.266667,NA
1503960366,2016-03-15T20:00:00Z,3319,207,86,1.433333,NA
1503960366,2016-03-15T21:00:00Z,1558,131,35,0.583333,NA
1503960366,2016-03-15T22:00:00Z,786,108,37,0.616667,NA
